id,split,name,flow,tool,area,arrival_ns,runtime_s,artifact
LSV01,public,epfl_priority,yosys_p1,yosys,469.756000,6.600000,2.72,points_train/LSV01__yosys_p1.tar.gz
LSV01,public,epfl_priority,yosys_p2,yosys,513.114000,1.920000,2.79,points_train/LSV01__yosys_p2.tar.gz
LSV01,public,epfl_priority,yosys_p3,yosys,421.344000,5.370000,2.67,points_train/LSV01__yosys_p3.tar.gz
LSV01,public,epfl_priority,yosys_p4,yosys,462.840000,6.410000,2.71,points_train/LSV01__yosys_p4.tar.gz
LSV01,public,epfl_priority,yosys_p5,yosys,508.858000,1.510000,2.77,points_train/LSV01__yosys_p5.tar.gz
LSV01,public,epfl_priority,dc_area,dc,495.823999,2.410000,3.85,points_train/LSV01__dc_area.tar.gz
LSV01,public,epfl_priority,dc_timing,dc,455.125998,1.550000,51.28,points_train/LSV01__dc_timing.tar.gz
LSV02,public,epfl_cavlc,yosys_p1,yosys,393.680000,0.400000,1.96,points_train/LSV02__yosys_p1.tar.gz
LSV02,public,epfl_cavlc,yosys_p2,yosys,411.236000,0.380000,1.92,points_train/LSV02__yosys_p2.tar.gz
LSV02,public,epfl_cavlc,yosys_p3,yosys,396.074000,0.460000,1.93,points_train/LSV02__yosys_p3.tar.gz
LSV02,public,epfl_cavlc,yosys_p4,yosys,392.616000,0.420000,1.91,points_train/LSV02__yosys_p4.tar.gz
LSV02,public,epfl_cavlc,yosys_p5,yosys,413.098000,0.430000,1.94,points_train/LSV02__yosys_p5.tar.gz
LSV02,public,epfl_cavlc,dc_area,dc,399.000001,0.730000,3.21,points_train/LSV02__dc_area.tar.gz
LSV02,public,epfl_cavlc,dc_timing,dc,386.498003,0.790000,50.33,points_train/LSV02__dc_timing.tar.gz
LSV03,public,epfl_adder,yosys_p1,yosys,779.380000,4.890000,2.97,points_train/LSV03__yosys_p1.tar.gz
LSV03,public,epfl_adder,yosys_p2,yosys,945.896000,2.140000,2.98,points_train/LSV03__yosys_p2.tar.gz
LSV03,public,epfl_adder,yosys_p3,yosys,779.114000,4.740000,2.79,points_train/LSV03__yosys_p3.tar.gz
LSV03,public,epfl_adder,yosys_p4,yosys,779.380000,4.890000,2.90,points_train/LSV03__yosys_p4.tar.gz
LSV03,public,epfl_adder,yosys_p5,yosys,1011.864000,1.190000,3.03,points_train/LSV03__yosys_p5.tar.gz
LSV03,public,epfl_adder,dc_area,dc,984.199991,5.180000,4.88,points_train/LSV03__dc_area.tar.gz
LSV03,public,epfl_adder,dc_timing,dc,1051.763989,4.940000,53.65,points_train/LSV03__dc_timing.tar.gz
LSV04,public,itc99_b11,yosys_p1,yosys,2200.352000,1.440000,2.51,points_train/LSV04__yosys_p1.tar.gz
LSV04,public,itc99_b11,yosys_p2,yosys,2442.944000,1.660000,2.82,points_train/LSV04__yosys_p2.tar.gz
LSV04,public,itc99_b11,yosys_p3,yosys,2174.018000,1.360000,2.53,points_train/LSV04__yosys_p3.tar.gz
LSV04,public,itc99_b11,yosys_p4,yosys,2176.678000,1.420000,2.54,points_train/LSV04__yosys_p4.tar.gz
LSV04,public,itc99_b11,yosys_p5,yosys,2650.158000,1.190000,3.19,points_train/LSV04__yosys_p5.tar.gz
LSV04,public,itc99_b11,dc_area,dc,1719.690014,1.990000,5.83,points_train/LSV04__dc_area.tar.gz
LSV04,public,itc99_b11,dc_timing,dc,749.588008,3.080000,51.71,points_train/LSV04__dc_timing.tar.gz
LSV05,public,sog_axi_downsizer,yosys_p1,yosys,127.680000,0.550000,0.64,points_train/LSV05__yosys_p1.tar.gz
LSV05,public,sog_axi_downsizer,yosys_p2,yosys,144.970000,0.510000,0.56,points_train/LSV05__yosys_p2.tar.gz
LSV05,public,sog_axi_downsizer,yosys_p3,yosys,127.946000,0.530000,0.59,points_train/LSV05__yosys_p3.tar.gz
LSV05,public,sog_axi_downsizer,yosys_p4,yosys,128.744000,0.560000,0.59,points_train/LSV05__yosys_p4.tar.gz
LSV05,public,sog_axi_downsizer,yosys_p5,yosys,144.970000,0.530000,0.56,points_train/LSV05__yosys_p5.tar.gz
LSV05,public,sog_axi_downsizer,dc_area,dc,127.413998,0.630000,2.39,points_train/LSV05__dc_area.tar.gz
LSV05,public,sog_axi_downsizer,dc_timing,dc,124.221999,0.690000,50.69,points_train/LSV05__dc_timing.tar.gz
LSV06,public,sog_pfpu_f2i,yosys_p1,yosys,795.872000,1.500000,1.32,points_train/LSV06__yosys_p1.tar.gz
LSV06,public,sog_pfpu_f2i,yosys_p2,yosys,869.820000,1.390000,1.36,points_train/LSV06__yosys_p2.tar.gz
LSV06,public,sog_pfpu_f2i,yosys_p3,yosys,809.172000,1.040000,1.24,points_train/LSV06__yosys_p3.tar.gz
LSV06,public,sog_pfpu_f2i,yosys_p4,yosys,791.084000,1.580000,1.32,points_train/LSV06__yosys_p4.tar.gz
LSV06,public,sog_pfpu_f2i,yosys_p5,yosys,865.032000,1.240000,1.33,points_train/LSV06__yosys_p5.tar.gz
LSV06,public,sog_pfpu_f2i,dc_area,dc,868.489998,2.150000,4.15,points_train/LSV06__dc_area.tar.gz
LSV06,public,sog_pfpu_f2i,dc_timing,dc,724.850001,1.830000,51.39,points_train/LSV06__dc_timing.tar.gz
LSV07,public,sog_qdiv,yosys_p1,yosys,2345.056000,1.820000,3.38,points_train/LSV07__yosys_p1.tar.gz
LSV07,public,sog_qdiv,yosys_p2,yosys,2537.906000,1.880000,3.66,points_train/LSV07__yosys_p2.tar.gz
LSV07,public,sog_qdiv,yosys_p3,yosys,2329.894000,2.690000,3.45,points_train/LSV07__yosys_p3.tar.gz
LSV07,public,sog_qdiv,yosys_p4,yosys,2290.792000,2.110000,3.33,points_train/LSV07__yosys_p4.tar.gz
LSV07,public,sog_qdiv,yosys_p5,yosys,2579.136000,2.940000,3.69,points_train/LSV07__yosys_p5.tar.gz
LSV07,public,sog_qdiv,dc_area,dc,2341.065965,3.510000,4.71,points_train/LSV07__dc_area.tar.gz
LSV07,public,sog_qdiv,dc_timing,dc,2207.267965,3.260000,51.48,points_train/LSV07__dc_timing.tar.gz
LSV08,public,sog_stage_mult,yosys_p1,yosys,1964.410000,1.020000,1.30,points_train/LSV08__yosys_p1.tar.gz
LSV08,public,sog_stage_mult,yosys_p2,yosys,2029.580000,0.990000,1.52,points_train/LSV08__yosys_p2.tar.gz
LSV08,public,sog_stage_mult,yosys_p3,yosys,1946.854000,1.120000,1.61,points_train/LSV08__yosys_p3.tar.gz
LSV08,public,sog_stage_mult,yosys_p4,yosys,1964.410000,1.020000,1.36,points_train/LSV08__yosys_p4.tar.gz
LSV08,public,sog_stage_mult,yosys_p5,yosys,2026.920000,0.910000,1.77,points_train/LSV08__yosys_p5.tar.gz
LSV08,public,sog_stage_mult,dc_area,dc,1900.835985,2.790000,5.12,points_train/LSV08__dc_area.tar.gz
LSV08,public,sog_stage_mult,dc_timing,dc,1346.491992,3.120000,51.05,points_train/LSV08__dc_timing.tar.gz
LSV09,public,medium_sha256_wishbone,yosys_p1,yosys,13972.182000,32.960000,9.89,points_train/LSV09__yosys_p1.tar.gz
LSV09,public,medium_sha256_wishbone,yosys_p2,yosys,14729.218000,9.280000,11.36,points_train/LSV09__yosys_p2.tar.gz
LSV09,public,medium_sha256_wishbone,yosys_p3,yosys,13599.782000,32.230000,10.01,points_train/LSV09__yosys_p3.tar.gz
LSV09,public,medium_sha256_wishbone,yosys_p4,yosys,13841.044000,23.280000,10.41,points_train/LSV09__yosys_p4.tar.gz
LSV09,public,medium_sha256_wishbone,yosys_p5,yosys,15128.218000,27.500000,13.14,points_train/LSV09__yosys_p5.tar.gz
LSV09,public,medium_sha256_wishbone,dc_area,dc,12569.031886,3.150000,19.40,points_train/LSV09__dc_area.tar.gz
LSV09,public,medium_sha256_wishbone,dc_timing,dc,12143.697863,3.500000,69.75,points_train/LSV09__dc_timing.tar.gz
LSV10,public,medium_vexriscv_small,yosys_p1,yosys,15494.500000,15.030000,8.19,points_train/LSV10__yosys_p1.tar.gz
LSV10,public,medium_vexriscv_small,yosys_p2,yosys,19001.444000,125.880000,9.95,points_train/LSV10__yosys_p2.tar.gz
LSV10,public,medium_vexriscv_small,yosys_p3,yosys,15569.512000,25.940000,8.34,points_train/LSV10__yosys_p3.tar.gz
LSV10,public,medium_vexriscv_small,yosys_p4,yosys,15445.556000,27.340000,8.76,points_train/LSV10__yosys_p4.tar.gz
LSV10,public,medium_vexriscv_small,yosys_p5,yosys,19449.122000,28.280000,10.30,points_train/LSV10__yosys_p5.tar.gz
LSV10,public,medium_vexriscv_small,dc_area,dc,13429.009847,2.890000,18.10,points_train/LSV10__dc_area.tar.gz
LSV10,public,medium_vexriscv_small,dc_timing,dc,13186.683867,2.720000,70.16,points_train/LSV10__dc_timing.tar.gz
