id,split,name,top,flow,tool,status,runtime_s,cells,area,wns_ns,tns_ns,arrival_ns,netlist,report_dir
LSV01,public,epfl_priority,top,dc_area,dc,ok,3.85,,495.823999,-2.41,-7.12,2.410000,references/points_train/LSV01__dc_area.tar.gz::LSV01__dc_area/netlist.v,references/points_train/LSV01__dc_area.tar.gz::LSV01__dc_area
LSV01,public,epfl_priority,top,dc_timing,dc,ok,51.28,,455.125998,-1.55,-5.26,1.550000,references/points_train/LSV01__dc_timing.tar.gz::LSV01__dc_timing/netlist.v,references/points_train/LSV01__dc_timing.tar.gz::LSV01__dc_timing
LSV02,public,epfl_cavlc,top,dc_area,dc,ok,3.21,,399.000001,-0.73,-7.13,0.730000,references/points_train/LSV02__dc_area.tar.gz::LSV02__dc_area/netlist.v,references/points_train/LSV02__dc_area.tar.gz::LSV02__dc_area
LSV02,public,epfl_cavlc,top,dc_timing,dc,ok,50.33,,386.498003,-0.79,-7.34,0.790000,references/points_train/LSV02__dc_timing.tar.gz::LSV02__dc_timing/netlist.v,references/points_train/LSV02__dc_timing.tar.gz::LSV02__dc_timing
LSV03,public,epfl_adder,top,dc_area,dc,ok,4.88,,984.199991,-5.18,-342.91,5.180000,references/points_train/LSV03__dc_area.tar.gz::LSV03__dc_area/netlist.v,references/points_train/LSV03__dc_area.tar.gz::LSV03__dc_area
LSV03,public,epfl_adder,top,dc_timing,dc,ok,53.65,,1051.763989,-4.94,-282.38,4.940000,references/points_train/LSV03__dc_timing.tar.gz::LSV03__dc_timing/netlist.v,references/points_train/LSV03__dc_timing.tar.gz::LSV03__dc_timing
LSV04,public,itc99_b11,b11,dc_area,dc,ok,5.83,,1719.690014,-1.99,-73.94,1.990000,references/points_train/LSV04__dc_area.tar.gz::LSV04__dc_area/netlist.v,references/points_train/LSV04__dc_area.tar.gz::LSV04__dc_area
LSV04,public,itc99_b11,b11,dc_timing,dc,ok,51.71,,749.588008,-3.08,-73.21,3.080000,references/points_train/LSV04__dc_timing.tar.gz::LSV04__dc_timing/netlist.v,references/points_train/LSV04__dc_timing.tar.gz::LSV04__dc_timing
LSV05,public,sog_axi_downsizer,axi_dwidth_converter_v2_1_b_downsizer,dc_area,dc,ok,2.39,,127.413998,-0.63,-6.89,0.630000,references/points_train/LSV05__dc_area.tar.gz::LSV05__dc_area/netlist.v,references/points_train/LSV05__dc_area.tar.gz::LSV05__dc_area
LSV05,public,sog_axi_downsizer,axi_dwidth_converter_v2_1_b_downsizer,dc_timing,dc,ok,50.69,,124.221999,-0.69,-7.90,0.690000,references/points_train/LSV05__dc_timing.tar.gz::LSV05__dc_timing/netlist.v,references/points_train/LSV05__dc_timing.tar.gz::LSV05__dc_timing
LSV06,public,sog_pfpu_f2i,pfpu_f2i,dc_area,dc,ok,4.15,,868.489998,-2.15,-94.81,2.150000,references/points_train/LSV06__dc_area.tar.gz::LSV06__dc_area/netlist.v,references/points_train/LSV06__dc_area.tar.gz::LSV06__dc_area
LSV06,public,sog_pfpu_f2i,pfpu_f2i,dc_timing,dc,ok,51.39,,724.850001,-1.83,-44.81,1.830000,references/points_train/LSV06__dc_timing.tar.gz::LSV06__dc_timing/netlist.v,references/points_train/LSV06__dc_timing.tar.gz::LSV06__dc_timing
LSV07,public,sog_qdiv,qdiv,dc_area,dc,ok,4.71,,2341.065965,-3.51,-524.11,3.510000,references/points_train/LSV07__dc_area.tar.gz::LSV07__dc_area/netlist.v,references/points_train/LSV07__dc_area.tar.gz::LSV07__dc_area
LSV07,public,sog_qdiv,qdiv,dc_timing,dc,ok,51.48,,2207.267965,-3.26,-350.17,3.260000,references/points_train/LSV07__dc_timing.tar.gz::LSV07__dc_timing/netlist.v,references/points_train/LSV07__dc_timing.tar.gz::LSV07__dc_timing
LSV08,public,sog_stage_mult,stage_mult,dc_area,dc,ok,5.12,,1900.835985,-2.79,-62.26,2.790000,references/points_train/LSV08__dc_area.tar.gz::LSV08__dc_area/netlist.v,references/points_train/LSV08__dc_area.tar.gz::LSV08__dc_area
LSV08,public,sog_stage_mult,stage_mult,dc_timing,dc,ok,51.05,,1346.491992,-3.12,-70.51,3.120000,references/points_train/LSV08__dc_timing.tar.gz::LSV08__dc_timing/netlist.v,references/points_train/LSV08__dc_timing.tar.gz::LSV08__dc_timing
LSV09,public,medium_sha256_wishbone,Sha256Wishbone,dc_area,dc,ok,19.40,,12569.031886,-3.15,-1764.81,3.150000,references/points_train/LSV09__dc_area.tar.gz::LSV09__dc_area/netlist.v,references/points_train/LSV09__dc_area.tar.gz::LSV09__dc_area
LSV09,public,medium_sha256_wishbone,Sha256Wishbone,dc_timing,dc,ok,69.75,,12143.697863,-3.50,-1754.35,3.500000,references/points_train/LSV09__dc_timing.tar.gz::LSV09__dc_timing/netlist.v,references/points_train/LSV09__dc_timing.tar.gz::LSV09__dc_timing
LSV10,public,medium_vexriscv_small,VexRiscv_small,dc_area,dc,ok,18.10,,13429.009847,-2.89,-1338.18,2.890000,references/points_train/LSV10__dc_area.tar.gz::LSV10__dc_area/netlist.v,references/points_train/LSV10__dc_area.tar.gz::LSV10__dc_area
LSV10,public,medium_vexriscv_small,VexRiscv_small,dc_timing,dc,ok,70.16,,13186.683867,-2.72,-1541.07,2.720000,references/points_train/LSV10__dc_timing.tar.gz::LSV10__dc_timing/netlist.v,references/points_train/LSV10__dc_timing.tar.gz::LSV10__dc_timing
LSV02,public,epfl_cavlc,top,yosys_p2,yosys,ok,1.92,374,411.236000,-0.38,-3.38,0.380000,references/points_train/LSV02__yosys_p2.tar.gz::LSV02__yosys_p2/netlist.v,references/points_train/LSV02__yosys_p2.tar.gz::LSV02__yosys_p2
LSV02,public,epfl_cavlc,top,yosys_p3,yosys,ok,1.93,370,396.074000,-0.46,-4.06,0.460000,references/points_train/LSV02__yosys_p3.tar.gz::LSV02__yosys_p3/netlist.v,references/points_train/LSV02__yosys_p3.tar.gz::LSV02__yosys_p3
LSV02,public,epfl_cavlc,top,yosys_p1,yosys,ok,1.96,362,393.680000,-0.40,-3.79,0.400000,references/points_train/LSV02__yosys_p1.tar.gz::LSV02__yosys_p1/netlist.v,references/points_train/LSV02__yosys_p1.tar.gz::LSV02__yosys_p1
LSV01,public,epfl_priority,top,yosys_p3,yosys,ok,2.67,332,421.344000,-5.37,-9.30,5.370000,references/points_train/LSV01__yosys_p3.tar.gz::LSV01__yosys_p3/netlist.v,references/points_train/LSV01__yosys_p3.tar.gz::LSV01__yosys_p3
LSV01,public,epfl_priority,top,yosys_p1,yosys,ok,2.72,343,469.756000,-6.60,-11.67,6.600000,references/points_train/LSV01__yosys_p1.tar.gz::LSV01__yosys_p1/netlist.v,references/points_train/LSV01__yosys_p1.tar.gz::LSV01__yosys_p1
LSV01,public,epfl_priority,top,yosys_p4,yosys,ok,2.71,340,462.840000,-6.41,-11.58,6.410000,references/points_train/LSV01__yosys_p4.tar.gz::LSV01__yosys_p4/netlist.v,references/points_train/LSV01__yosys_p4.tar.gz::LSV01__yosys_p4
LSV01,public,epfl_priority,top,yosys_p5,yosys,ok,2.77,502,508.858000,-1.51,-5.48,1.510000,references/points_train/LSV01__yosys_p5.tar.gz::LSV01__yosys_p5/netlist.v,references/points_train/LSV01__yosys_p5.tar.gz::LSV01__yosys_p5
LSV01,public,epfl_priority,top,yosys_p2,yosys,ok,2.79,517,513.114000,-1.92,-6.23,1.920000,references/points_train/LSV01__yosys_p2.tar.gz::LSV01__yosys_p2/netlist.v,references/points_train/LSV01__yosys_p2.tar.gz::LSV01__yosys_p2
LSV02,public,epfl_cavlc,top,yosys_p4,yosys,ok,1.91,371,392.616000,-0.42,-3.83,0.420000,references/points_train/LSV02__yosys_p4.tar.gz::LSV02__yosys_p4/netlist.v,references/points_train/LSV02__yosys_p4.tar.gz::LSV02__yosys_p4
